#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
241,61,Универзитет у Новом Саду,Факултет спорта и физичког васпитања,Државни факултет,395,Дипломирани професор физичког васпитања и спорта,Дипломирани професор физичког васпитања и кинезитерапије,Друштвено-хуманистичке науке,Основне академске,93500,1500,243,612-00-01343/2014-04,03/04/2015,250,121,144,90,158,,,84,65,80,82,,,1,1,3,0,,,127,240,26,513,311,5,829,8,4,266,206,210,173,240,,,DH,Државни факултет,240
249,86,Универзитет уметности у Београду,Факултет музичке уметности,Државни факултет,526,Композиција ОАС,Дипломирани композитор,Уметност,Основне академске,120000,1500,240,612-00-01391/2015-06,31/03/2017,4,2,3,2,4,,,1,2,0,3,,,0,0,0,0,,,3,6,0,11,6,0,17,8,4,6,3,5,2,7,,,UM,Државни факултет,7
368,22,Универзитет у Београду,Математички факултет,Државни факултет,413,Информатика,Информатичар,Природно-математичке науке,Основне академске,141000,3500,240,612-00-00092/2015-04,12.06.2015.,160,105,98,73,66,,,110,69,109,87,,,0,0,0,0,,,37,912,3,342,375,0,717,8,4,915,215,167,182,153,,,PM,Државни факултет,153
374,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,420,Основне академске студије Дипломирани биолог,Дипломирани биолог,Природно-математичке науке,Основне академске,90750,2000,244,612-00-01114/2017-06,08/12/2017,80,56,47,63,97,,,22,26,21,205,,,1,0,0,1,,,33,121,3,263,274,2,539,8,4,124,79,73,84,303,,,PM,Државни факултет,303
375,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,421,Основне академске студије Дипломирани професор биологије,Дипломирани биолог,Природно-математичке науке,Основне академске,90750,2000,240,612-00-280/40/2011-04,06/04/2012,0,0,1,17,13,,,1,5,7,39,,,0,0,0,0,,,4,0,0,31,52,0,83,8,4,0,1,6,24,52,,,PM,Државни факултет,52
376,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,422,Основне академске студије - Дипломирани еколог,Дипломирани еколог,Природно-математичке науке,Основне академске,90750,2000,242,612-00-01114/2017-06,08/12/2017,60,32,32,25,41,,,4,11,16,107,,,0,0,0,0,,,22,13,4,130,138,0,268,8,4,17,36,43,41,148,,,PM,Државни факултет,148
377,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,423,Основне академске студије Физика,Дипломирани физичар,Природно-математичке науке,Основне академске,54450,2000,240,612-00-01114/2017-06,21/07/2017,55,23,27,10,13,,,13,18,13,91,,,0,0,0,0,,,18,22,6,73,135,0,208,8,4,28,36,45,23,104,,,PM,Државни факултет,104
378,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,424,Основне академске студије Професор физике,Дипломирани физичар,Природно-математичке науке,Основне академске,54450,2000,240,612-00-280/30/2012-04,20/01/2012,0,0,3,5,7,,,0,3,10,22,,,0,0,0,0,,,18,0,0,15,35,0,50,8,4,0,0,6,15,29,,,PM,Државни факултет,29
379,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,425,"Финансије, банкарство и осигурање (240 ЕСПБ)",Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,248,80,49,77,173,,,33,32,39,239,,,0,0,0,0,,,138,114,0,379,343,0,722,8,4,114,113,81,116,412,,,DH,Државни факултет,412
380,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,426,Маркетинг (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,140,65,38,50,114,,,34,27,20,115,,,0,0,0,0,,,111,105,0,267,196,0,463,8,4,105,99,65,70,229,,,DH,Државни факултет,229
381,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,427,Менаџмент (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,80,34,16,22,35,,,25,15,10,58,,,0,1,1,0,,,35,57,0,107,108,2,217,8,4,57,59,32,33,93,,,DH,Државни факултет,93
382,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,428,Пословни информациони системи (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,31.01.2014.,63,0,1,37,44,,,0,9,20,62,,,0,0,0,0,,,43,0,0,82,91,0,173,8,4,0,0,10,57,106,,,DH,Државни факултет,106
383,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,429,Рачуноводство и ревизија (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,170,50,68,43,38,,,7,38,9,85,,,0,0,0,0,,,65,83,0,199,139,0,338,8,4,83,57,106,52,123,,,DH,Државни факултет,123
384,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,430,Трговина (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,55,27,15,14,45,,,6,11,11,47,,,0,0,0,0,,,40,19,0,101,75,0,176,8,4,19,33,26,25,92,,,DH,Државни факултет,92
396,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,442,Мерење и регулација (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,12.04.2013,60,10,15,13,11,,,55,15,8,4,,,0,0,0,0,,,0,6,0,49,82,0,131,8,4,6,65,30,21,15,,,TT,Државни факултет,15
397,27,Универзитет у Београду,Шумарски факултет,Државни факултет,444,Еколошки инжењеринг у заштити земљишних и водних ресурса,Дипломирани инжењер шумарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-660/14/2008-04,18.12.2008.,60,24,21,22,51,,,44,35,24,60,,,0,0,0,0,,,27,30,8,118,163,0,281,8,4,38,68,56,46,111,,,TT,Државни факултет,111
398,42,Универзитет у Крагујевцу,"Учитељски факултет, Ужице",Државни факултет,447,Васпитач,Дипломирани васпитач,Друштвено-хуманистичке науке,Основне академске,80000,0,240,612-00-00020/2014-04,04/07/2014,15,15,18,21,25,10,,9,27,5,5,2,,0,0,0,0,,,36,33,0,89,48,0,137,8,4,33,24,45,26,30,,,DH,Државни факултет,30
401,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,450,Основне академске студије хемије - контрола квалитета и управљање животном средином,Дипломирани хемичар,Природно-математичке науке,Основне академске,107690,2000,240,612-00-01154/2012-04,28/06/2013,35,16,11,14,29,,,5,11,6,37,,,1,0,0,0,,,26,16,0,70,59,1,130,8,4,16,22,22,20,66,,,PM,Државни факултет,66
402,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,451,Основне академске студије биохемије,Дипломирани биохемичар,Природно-математичке науке,Основне академске,107690,2000,240,612-00-01154/2012-04,19/04/2013,35,31,24,20,23,,,5,3,14,27,,,0,0,0,0,,,23,45,0,98,49,0,147,8,4,45,36,27,34,50,,,PM,Државни факултет,50
404,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,453,Производно машинство (OAS),Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,08.03.2013.,100,81,37,40,44,,,41,19,14,70,,,0,0,0,0,,,26,76,0,202,144,0,346,8,4,76,122,56,54,114,,,TT,Државни факултет,114
405,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,454,Механизација и конструкционо машинство (OAS),Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00302/2015-04,06.03.2015.,60,39,23,27,42,,,17,19,7,59,,,0,0,0,0,,,17,42,0,131,102,0,233,8,4,42,56,42,34,101,,,TT,Државни факултет,101
406,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,455,Основне академске студије заштите животне средине - Аналитичар заштите животне средине,Дипломирани аналитичар заштите животне средине,Природно-математичке науке,Основне академске,107690,2000,240,612-00-01154/2012-04,28/06/2013,40,5,6,26,26,,,6,1,2,26,,,0,0,0,0,,,16,7,1,63,35,0,98,8,4,8,11,7,28,52,,,PM,Државни факултет,52
407,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,456,Енергетика и процесна техника (OAS),Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00302/2015-04,06.03.2015.,60,39,23,22,30,,,12,25,13,67,,,0,0,0,1,,,27,21,0,114,117,1,232,8,4,21,51,48,35,98,,,TT,Државни факултет,98
408,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,457,Техничка механика и дизајн у техници (OAS),Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,19.04.2013.,30,0,0,0,11,,,2,1,2,16,,,0,0,0,0,,,1,0,0,11,21,0,32,8,4,0,2,1,2,27,,,TT,Државни факултет,27
409,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,458,"Енергетика, електроника и телекомуникације (OAS)",Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00302/2015-04,06.03.2015.,240,165,132,137,184,,,167,84,97,293,,,0,0,0,0,,,148,154,0,618,641,0,1259,8,4,154,332,216,234,477,,,TT,Државни факултет,477
410,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,459,Рачунарство и аутоматика (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,24.05.2013.,240,192,202,207,268,,,86,38,45,214,,,0,0,0,0,,,126,424,0,869,383,0,1252,8,4,424,278,240,252,482,,,TT,Државни факултет,482
411,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,460,Биомедицинско инжењерство (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,22.03.2013.,60,20,29,48,60,,,63,21,8,13,,,0,0,0,0,,,9,64,0,157,105,0,262,8,4,64,83,50,56,73,,,TT,Државни факултет,73
412,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,461,Примењено софтверско инжењерство (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00303/2015-04,06.03.2015.,160,100,108,100,130,,,83,52,47,64,,,0,0,0,0,,,8,145,0,438,246,0,684,8,4,145,183,160,147,194,,,TT,Државни факултет,194
413,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,462,Софтверско инжењерство и информационе технологије (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00902/2015-06,04.12.2015.,80,39,68,70,82,,,51,13,10,36,,,0,0,0,0,,,10,404,0,259,110,0,369,8,4,404,90,81,80,118,,,TT,Државни факултет,118
414,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,463,Софтверско инжењерство и информационе технологије – Лозница (OAS),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,19.04.2013.,40,0,0,0,0,,,1,0,1,11,,,0,0,0,0,,,2,0,0,0,13,0,13,8,4,0,1,0,1,11,,,TT,Државни факултет,11
415,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,464,Грађевинарство (OAS),Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,22.03.2013.,180,110,36,51,68,,,51,43,53,356,,,1,1,0,0,,,86,105,0,265,503,2,770,8,4,105,162,80,104,424,,,TT,Државни факултет,424
416,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,465,Основне академске студије Информатика,Информатичар,Природно-математичке науке,Основне академске,77440,2000,180,612-00-01154/2012-04,07/06/2013,,30,11,16,,,,17,22,36,,,,,,,,,,6,,,57,75,0,132,6,3,,,,,,,,PM,Државни факултет,
417,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,466,Управљање ризиком од катастрофалних догађаја и пожара (OAS),Дипломирани инжењер заштите од катастрофалних догађаја и пожара,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-01307/2012-04,17.05.2013.,40,20,17,25,47,,,6,4,1,35,,,0,0,0,0,,,9,7,0,109,46,0,155,8,4,7,26,21,26,82,,,IMT,Државни факултет,82
418,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,468,Архитектура (OAS),Дипломирани инжењер архитектуре (техничке науке),Техничко-технолошке науке,Основне академске,100000,2000,240,612-00-01307/2012-04,22.03.2013.,120,48,102,86,140,,,83,23,35,180,,,0,0,0,1,,,111,223,0,376,321,1,698,8,4,223,131,125,121,321,,,TT,Државни факултет,321
419,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,470,"Сценска архитектура, техника и дизајн (OAS)","Дипломирани инжењер сценске архитектуре, технике и дизајна","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,100000,2000,240,612-00-01307/2012-04,28.06.2013.,24,10,22,16,24,,,13,2,1,4,,,1,0,0,0,,,7,21,0,72,20,1,93,8,4,21,24,24,17,28,,,IMT,Државни факултет,28
420,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,471,Саобраћај и транспорт (OAS),Дипломирани инжењер саобраћаја,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,24.05.2013.,140,71,69,68,105,,,83,36,55,219,,,0,0,0,0,,,69,104,0,313,393,0,706,8,4,104,154,105,123,324,,,TT,Државни факултет,324
421,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,472,Поштански саобраћај и телекомуникације (OAS),Дипломирани инжењер саобраћаја,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,24.05.2013.,40,19,17,12,28,,,8,7,7,56,,,0,0,0,0,,,29,6,0,76,78,0,154,8,4,6,27,24,19,84,,,TT,Државни факултет,84
422,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,474,Основне академске студије Дипломирани информатичар,Дипломирани информатичар,Природно-математичке науке,Основне академске,77440,2000,240,612-00-01154/2012-04,07/06/2013,,50,30,38,65,,,11,13,16,77,,,,,,,,,22,,,183,117,0,300,8,4,,,,,,,,PM,Државни факултет,
423,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,475,Индустријско инжењерство (OAS),Дипломирани инжењер индустријског инжењерства,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00902/2015-06,04.12.2015.,80,36,47,41,53,,,62,21,12,54,,,0,0,0,0,,,20,61,0,177,149,0,326,8,4,61,98,68,53,107,,,TT,Државни факултет,107
424,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,476,Инжењерски менаџмент (OAS),Дипломирани инжењер менаџмента,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,08.03.2013.,180,56,114,125,175,,,164,38,22,186,,,1,0,0,1,,,108,194,0,470,410,2,882,8,4,194,221,152,147,362,,,TT,Државни факултет,362
425,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,478,Графичко инжењерство и дизајн (OAS),Дипломирани инжењер графичког инжењерства и дизајна,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-01307/2012-04,14.06.2013.,90,52,79,75,111,,,41,13,20,170,,,0,0,0,0,,,65,211,0,317,244,0,561,8,4,211,93,92,95,281,,,IMT,Државни факултет,281
426,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,479,Инжењерство заштите животне средине (OAS),Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-02653/2013-04,07.03.2014.,90,60,23,32,51,,,20,21,9,135,,,0,0,0,0,,,56,31,0,166,185,0,351,8,4,31,80,44,41,186,,,TT,Државни факултет,186
428,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,482,Инжењерство заштите на раду (OAS),Дипломирани инжењер заштите на раду,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-01307/2012-04,22.03.2013.,40,21,18,19,40,,,18,7,3,44,,,0,0,0,0,,,16,21,0,98,72,0,170,8,4,21,39,25,22,84,,,TT,Државни факултет,84
429,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,483,Мехатроника (OAS),Дипломирани инжењер мехатронике,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-00637/2014-04,09.04.2014.,90,51,59,47,77,,,75,32,20,76,,,0,0,0,1,,,36,122,0,234,203,1,438,8,4,122,126,91,67,154,,,IMT,Државни факултет,154
430,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,484,Геодезија и геоматика (OAS),Дипломирани инжењер геодезије,Техничко-технолошке науке,Основне академске,90000,2000,240,612-00-00637/2014-04,09.04.2014.,90,40,38,42,72,,,17,31,23,91,,,0,0,0,1,,,48,41,0,192,162,1,355,8,4,41,57,69,65,164,,,TT,Државни факултет,164
431,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,486,Анимација у инжињерству (OAS),Дипломирани инжењер рачунарске графике,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-01307/2012-04,12.04.2013.,60,30,51,42,76,,,36,18,12,76,,,0,0,0,0,,,12,121,0,199,142,0,341,8,4,121,66,69,54,152,,,IMT,Државни факултет,152
432,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,487,Чисте енергетске технологије (OAS),Дипломирани инжењер енергетских технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-01307/2012-04,10.05.2013.,60,14,17,23,32,,,12,12,4,17,,,1,0,0,0,,,0,15,0,86,45,1,132,8,4,15,27,29,27,49,,,IMT,Државни факултет,49
446,58,Универзитет у Нишу,Факултет уметности,Државни факултет,511,Сликарство,Дипломирани ликовни уметник,Уметност,Основне академске,120000,2500,240,612-00-01734/2016-06,27/01/2017,10,5,6,10,9,,,5,4,0,0,,,0,0,0,0,,,9,10,0,30,9,0,39,8,4,10,10,10,10,9,,,UM,Државни факултет,9
450,58,Универзитет у Нишу,Факултет уметности,Државни факултет,515,Графички дизајн,Дипломирани дизајнер,Уметност,Основне академске,120000,2500,240,612-00-00582/2014-04,22/04/2016,10,5,6,8,10,,,5,4,0,1,,,0,0,0,0,,,14,20,0,29,10,0,39,8,4,20,10,10,8,11,,,UM,Државни факултет,11
454,58,Универзитет у Нишу,Факултет уметности,Државни факултет,519,Музичка теорија и педагогија,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,20/04/2012,0,0,12,10,23,,,0,7,1,0,,,0,0,0,0,,,1,0,0,45,8,0,53,8,4,0,0,19,11,23,,,DH,Државни факултет,23
456,58,Универзитет у Нишу,Факултет уметности,Државни факултет,521,Клавир,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,10/06/2011,0,0,4,5,7,,,0,0,0,0,,,0,0,0,0,,,3,0,0,16,0,0,16,8,4,0,0,4,5,7,,,UM,Државни факултет,7
459,58,Универзитет у Нишу,Факултет уметности,Државни факултет,524,Соло певање,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,10/06/2011,0,0,3,1,3,,,0,0,0,0,,,0,0,0,0,,,4,0,0,7,0,0,7,8,4,0,0,3,1,3,,,UM,Државни факултет,3
460,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,525,"Интегрисане академске студије двопредметне наставе природних наука, математике и рачунарства",Дипломирани професор информатике и математике,Природно-математичке науке,Интегр. академске,54450,2000,300,612-00-01154/2012-04,27/06/2016,60,0,0,0,0,4,,0,0,5,8,40,,0,0,0,0,0,,1,0,0,4,53,0,57,10,5,0,0,0,5,8,44,,PM,Државни факултет,44
461,58,Универзитет у Нишу,Факултет уметности,Државни факултет,528,Гудачки инструменти,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,24/06/2011,0,0,7,8,8,,,0,0,0,0,,,0,0,0,0,,,8,0,0,23,0,0,23,8,4,0,0,7,8,8,,,UM,Државни факултет,8
462,58,Универзитет у Нишу,Факултет уметности,Државни факултет,529,Дувачки инструменти,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,24/06/2011,0,0,4,6,3,,,0,1,0,0,,,0,0,0,0,,,4,0,0,13,1,0,14,8,4,0,0,5,6,3,,,UM,Државни факултет,3
463,6,Универзитет у Београду,Фармацеутски факултет,Државни факултет,530,Фармација,Магистар фармације,Медицинске науке,Интегр. академске,145000,2500,300,612-00-00729/2013-04,07.06.2013.,247,201,182,169,175,252,,77,130,151,94,204,,0,2,3,0,3,,206,393,0,979,656,8,1643,10,5,393,278,314,323,269,459,,MD,Државни факултет,459
464,6,Универзитет у Београду,Фармацеутски факултет,Државни факултет,531,Фармација - медицинска биохемија,Магистар фармације медицински биохемичар,Медицинске науке,Интегр. академске,145000,2500,300,612-00-00729/2013-04,24.05.2013,72,53,54,47,50,59,,28,39,43,23,80,,0,2,1,0,1,,58,356,0,263,213,4,480,10,5,356,81,95,91,73,140,,MD,Државни факултет,140
465,58,Универзитет у Нишу,Факултет уметности,Државни факултет,532,Гитара,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,24/06/2011,0,0,2,4,2,,,0,0,0,0,,,0,0,0,0,,,1,0,0,8,0,0,8,8,4,0,0,2,4,2,,,UM,Државни факултет,2
466,58,Универзитет у Нишу,Факултет уметности,Државни факултет,533,Хармоника,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-270/2009-04 Документација за поновну акредитацију предата је КАПК,10/06/2011,0,0,2,4,3,,,0,0,0,0,,,0,0,0,0,,,1,0,0,9,0,0,9,8,4,0,0,2,4,3,,,UM,Државни факултет,3
471,58,Универзитет у Нишу,Факултет уметности,Државни факултет,2330,Извођачке уметности,Дипломирани музички уметник,Уметност,Основне академске,120000,2500,240,612-00-01733/2016-06,30/06/2017,26,17,,,,,,9,,,,,,0,,,,,,0,34,1,17,9,0,26,8,4,35,26,,,,,,UM,Државни факултет,
473,58,Универзитет у Нишу,Факултет уметности,Државни факултет,2329,Музичка теорија,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,120000,2500,240,612-00-01734/2016-06,27/10/2017,20,11,,,,,,0,,,,,,0,,,,,,0,12,0,11,0,0,11,8,4,12,11,,,,,,DH,Државни факултет,
474,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,610,Инжењерство информационих система (OAS),Дипломирани инжењер информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-00902/2015-06,04.12.2015.,80,30,71,61,67,,,52,3,15,7,,,0,0,0,0,,,0,95,0,229,77,0,306,8,4,95,82,74,76,74,,,IMT,Државни факултет,74
487,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,557,Прехрамбена технологија,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,17.05.2013.,300,182,90,117,222,,,73,78,65,243,,,0,0,0,0,,,122,208,0,611,459,0,1070,8,4,208,255,168,182,465,,,TT,Државни факултет,465
488,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,559,Агроекономија,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,10.05.2013.,120,85,69,72,137,,,20,23,27,258,,,0,0,0,0,,,50,86,0,363,328,0,691,8,4,86,105,92,99,395,,,DH,Државни факултет,395
489,45,Универзитет у Крагујевцу,"Факултет за хотелијерство и туризам, Врњачка Бања",Државни факултет,2328,гастрономски менаџмент,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,90000,1460,240,612-00-00915/2017-06,08/12/2017,50,20,,,,,,,,,,,,,,,,,,0,34,9,20,0,0,20,8,4,43,,,,,,,DH,Државни факултет,
490,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,567,Биљна производња,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,24.05.2013.,340,242,135,162,279,,,75,66,61,545,,,0,0,0,0,,,85,197,0,818,747,0,1565,8,4,197,317,201,223,824,,,TT,Државни факултет,824
491,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,569,Зоотехника,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,10.05.2013.,100,38,41,27,77,,,3,23,13,112,,,0,0,0,0,0,,12,33,0,183,151,0,334,8,4,33,41,64,40,189,,,TT,Државни факултет,189
492,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,572,Мелиорације земљишта,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,10.05.2013.,55,10,17,13,27,,,7,4,4,58,,,0,0,0,0,,,7,7,0,67,73,0,140,8,4,7,17,21,17,85,,,TT,Државни факултет,85
493,16,Универзитет у Београду,Пољопривредни факултет,Државни факултет,574,Пољопривредна техника,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,90000,2200,240,612-00-00641/2013-04,10.05.2013.,55,23,6,11,27,,,4,2,6,31,,,0,0,0,1,,,8,4,0,67,43,1,111,8,4,4,27,8,17,59,,,TT,Државни факултет,59
502,72,Универзитет у Новом Саду,"Педагошки факултет, Сомбор",Државни факултет,594,Дипломирани учитељ,Дипломирани учитељ,Друштвено-хуманистичке науке,Основне академске,50000,1000,240,612-00-01120/2013-04,13/12/2013,89,42,29,28,48,0,0,3,3,2,103,0,0,0,0,0,0,0,0,61,35,7,147,111,0,258,8,4,42,45,32,30,151,0,0,DH,Државни факултет,151
